9694901 | Rhizobium | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9266936 | Bacillus megaterium | salt stress | maize | The gene expression analysis of maize Zea mays roots inoculated with Bacillus megaterium and Pantoea agglomerans revealed that the upregulation of ZmPIP2 and ZmPIP1-1 resulted in increased water uptake under salt stress conditions -REF-. | YES
8071382 | Rhizophagus intraradices | drought stress | tomato | Further, Rhizophagus intraradices inoculation resulted in a 14% increase in shoot P concentration of wild type tomato plants under well-watered conditions and a 23% increase under drought stress -REF-. | YES
9293653 | Bacillus cereus | heat stress | soybean | An increase in proline content and APX activity levels was observed during Bacillus cereus SA1 strain mediated heat stress tolerance in soybean, where SA1 treated soybean plants exhibited several folds higher APX activity levels and proline content over untreated control plants under heat stress -REF-. | YES
9428627 | Bacillus | drought | Cicer arietinum | However, different Bacillus strains increased proline secretion in drought conditions in Solanum lycopersicum -REF-, Cicer arietinum -REF-, Sorghum bicolor -REF-, and Cucumis sativus -REF-. | YES
6987256 | Pantoea alhagi | salt stress | rice | In the present study, we found that Pantoea alhagi NX-11 significantly promoted the accumulation of proline in rice seedlings under salt stress -REF-. | YES
6780275 | Bacillus | cold | wheat | The inoculated cold tolerant Bacillus strains also aided in inducing stress response in wheat by regulating abscisic acid, lipid peroxidation and proline accumulation pathways in a beneficial manner. | YES
9694901 | Bacillus pumilus | salt stress | Onobrychis sativa | Inoculation of Onobrychis sativa with Bacillus pumilus increased the activity of rice catalase and superoxide dismutase in salt stress conditions. | YES
6780275 | Bacillus | cold stress | wheat | The phytohormone i.e., cytokinin, auxin and expansin related genes is also up-regulated by the inoculation of PGPR as reported by -REF- and the ethylene gene is reported to be down-regulated -REF-, The expression pattern also conforms to our results as well But to the best of our knowledge, the present study is the first report of transcriptional regulation of these phytohormone genes in wheat plants under cold stress induced by inoculated Bacillus strains CJCL2 and RJGP41. | YES
9712829 | Bacillus subtilis | saline conditions | Arabidopsis | For example, Bacillus subtilis GB03 produced VOCs that induced glycine betaine production by Arabidopsis under saline conditions in an ABA-dependent manner -REF-. | YES
7641974 | Paenibacillus yonginensis | salt stress | ginseng | Inoculation of salt tolerant Paenibacillus yonginensis DCY84T– on ginseng seeds resulted in the accumulation of total soluble sugars, proline, and polyamine content under 300 mM salt stress. | YES
8071382 | Funneliformis | salinity | tomato | The activity of antioxidant enzymes SOD, CAT, POD, and APX increased in Funneliformis mosseae-inoculated tomato plants under salinity except SOD and CAT activity at 100 mM NaCl. | YES
10975020 | Glomus mosseae | drought | soybean | Inoculation of soybean plants with Glomus clarum, Glomus mosseae, and Gigaspora margarita was found to enhance N fixation under drought -REF- through nodulation and positive regulation of genes encoding NO3− transporters such as NRT1 under mineral nutrient stresses -REF-. | YES
7641974 | Paenibacillus yonginensis | salt | ginseng | Inoculation of salt tolerant Paenibacillus yonginensis DCY84T– on ginseng seeds resulted in the accumulation of total soluble sugars, proline, and polyamine content under 300 mM salt stress. | YES
9268828 | Bacillus safensis | salinity stress | maize | In our research, inoculating maize plants with Bacillus safensis PM22 significantly boosted the enzymatic antioxidants SOD, CAT, POD, and APX under salinity stress. | YES
7688926 | Bacillus subtilis | salt | white clover | For example, Bacillus subtilis GB03 greatly decreased the accumulation of Na+ in the shoots and roots of white clover grown under elevated salt conditions and improved the K+/Na+ ratio -REF-. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | A 54% increase in total soluble sugar of tomato inoculated with Dermacoccus abyssi MT1.1T under salt stress was observed. | YES
8869449 | Trichoderma harzianum | drought | rice | Compared to uninoculated rice genotypes Swarna and Swarna sub-1 under severe drought conditions, the PGPFs Fusarium pallidoroseum strain-10 and Trichoderma harzianum strain-35 inoculated rice genotypes showed higher activity of SOD, POX, and CAT -REF-. | YES
7688926 | Bacillus amyloliquefaciens | salt stress | maize | For example, inoculation of Bacillus amyloliquefaciens SQR9 enhanced the TSS contents of maize under salt stress condition compared with the non-inoculated control plants -REF-. | YES
9415082 | Burkholderia phytofirmans | cold-stressed | Vitis vinifera | The same bacteria, Burkholderia phytofirmans PsJN, when inoculated with cold-stressed grapevine Vitis vinifera, lowered biomass reduction and electrolyte leakage from membranes -REF-. | YES
8003591 | Dietzia | salinity stress | wheat | The enhanced expressions of MYB and WRKY TFs were also noticed in the Dietzia natronolimnaea-inoculated wheat plants under salinity stress -REF-. | YES
10149814 | Burkholderia phytofirmans PsJN | drought stress | potato | Transcriptome analysis of Burkholderia phytofirmans PsJN colonizing potato under drought stress showed the upregulation of genes related to transcriptional regulation, homeostasis, and the detoxification of ROS -REF-.The transcriptome analysis of plant growth-promoting Paenibacillus polymyxa YC0136 showed 286 genes were up-regulated and 223 genes were down-regulated under interaction with tobacco -REF-. | YES
8759379 | Burkholderia phytofirmans | cold stress | grapevine | As previous works have noted, cold stress 4 °C induces more carbohydrate accumulations such as starch, glucose, fructose, sucrose, mannose, raffinose and maltose, in grapevine inoculated with Burkholderia phytofirmans than in grapevine non-inoculated -REF-. | YES
10398642 | endophytic bacterium | drought tolerance | Medicago sativa | SA190 enhances drought tolerance of Arabidopsis and Medicago sativa  Pseudomonas argentinensis strain SA190 is a plant endophytic bacterium that was previously isolated from root nodules of the desert plant I. argentea Lafi et al,  -REF-. | YES
9293653 | Bacillus cereus | heat stress | tomato | Increased levels of CAT activity and proline content were also observed in Bacillus cereus mediated mitigation of heat stress in tomato -REF-. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | Interestingly, inoculation of Dermacoccus abyssi MT1.1T resulted in 78% decreased in H2O2 content compared to non-inoculated tomato under salt stress. | YES
6987256 | Pantoea alhagi | salt stress | rice | Under salt stress, rice seedlings that had been inoculated with Pantoea alhagi NX-11 had a significantly higher K+/Na+ ratio, higher proline content, and lower MDA content than uninoculated rice seedlings. | YES
9266936 | Enterobacter cloacae | salt stress | canola | PGPR reduced the MDA content under salt stress in several plants: in wheat inoculated with B. giganossus -REF-, maize inoculated with Kocuria rhizophila Y1 -REF-, and canola Brassica napus inoculated with Enterobacter cloacae HSNJ4. | YES
8163885 | Streptomyces | drought-stressed | sorghum | Interestingly, while we had previously observed that the addition of Streptomyces to drought-stressed, gnotobiotic grown sorghum led to increased plant root biomass -REF-, here we observed that the addition of iron results in a loss of this stress-induced benefit Fig. | YES
9415082 | Burkholderia phytofirmans | cold-stressed | grapevine | The same bacteria, Burkholderia phytofirmans PsJN, when inoculated with cold-stressed grapevine Vitis vinifera, lowered biomass reduction and electrolyte leakage from membranes -REF-. | YES
8815908 | Pseudomonas | drought stress | mung bean | The Pseudomonas strains especially MK513749, MK513748 and MK513747 might be able to stimulate low ethylene concentration of mung bean plants by cleaving ACC under drought stress and hence increased plant growth in terms of root length, root and shoot fresh weights and plant dry biomass of all plants inoculated significantly higher than drought-stressed and non-stressed un-inoculated conditions controls.This finding is supported by previous reports demonstrating increased resistance to abiotic stresses including drought -REF-– -REF-. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | For total soluble sugar TSS, the highest TSS was recorded in tomato inoculated with Dermacoccus abyssi MT1.1T compared to non-inoculated with and without salt stress -REF-A. | YES
8076752 | Trichoderma harzianum | water deficit | tomato | The induction of antioxidant defense has also been observed in tomato seedlings and rice in water deficit after Trichoderma harzianum interaction -REF-; -REF-. | YES
10975020 | Glomus clarum | drought | soybean | Inoculation of soybean plants with Glomus clarum, Glomus mosseae, and Gigaspora margarita was found to enhance N fixation under drought -REF- through nodulation and positive regulation of genes encoding NO3− transporters such as NRT1 under mineral nutrient stresses -REF-. | YES
7691295 | Alcaligenes piechaudii | drought | Lycopersicon esculentum | Under drought conditions, ACC deaminase producing PGPB Alcaligenes piechaudii ARV8 greatly enhanced the seedling fresh and dry weight of Lycopersicon esculentum and Capsicum annuum while reduced the production of ethylene -REF-. | YES
6930159 | Enterobacter | salt stress | Jatropha | Some ST-PGPR such as Enterobacter clocae, Pseudomonas pseudoalcaligenes and Bacillus sp., increased levels of APX and CAT in Jatropha leaves in response to salt stress and also stimulated the roots, increased biomass, N, phosphorus P, potassium K uptake and chlorophyll content in the vegetative parts of the plant -REF-. | YES
