9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
8840115 | Enterobacter cloacae | Salt | Zea mays | Conclusions The present study demonstrated that the inoculation of halo-tolerant bacterium Enterobacter cloacae PM23 increased the resistance of maize plants under elevated salt concentrations. | YES
8533330 | Pantoea | Salt | Arabidopsis thaliana | Trials on Arabidopsis thaliana showed that inoculation with Bacillus -REF-, Enterobacter -REF-, and Athrobacter, Pantoea, and Microbacterium -REF- isolates from various desert plants showed improved resistance to salt stress and improved growth compared to non-inoculated controls. | YES
8072474 | Piriformospora indica | Salt | Hordeum vulgare | In another study, barley plants previously inoculated with Piriformospora indica have been shown to increase resistance of salt stress. | YES
9518148 | Curtobacterium luteum | Salt | Oryza sativa | Halotolerant endophytic strains viz., Curtobacterium luteum SAK2, Curtobacterium oceanosedimentum SAK1, Bacillus cereus SA1, Enterobacter tabaci SA3, Enterobacter ludwigii SAK5, and Micrococcus yunnanensis SA2 resulted in a significant enhancement in growth and dry matter production of rice by increasing salt tolerance -REF-. | YES
8066330 | Pantoea alhagi | Drought | Triticum aestivum | -REF- have reported that Pantoea alhagi triggers an enhanced growth and drought tolerance in wheat. | YES
9600683 | Periconia macrospinosa | Drought | Cucumis sativus | -REF- reported that endophytic fungi Neocamarosporium goegapense, Neocamarosporium chichastianum, and Periconia macrospinosa isolated from a desert plant alleviated drought stress in wheat and cucumber by boosting antioxidant defense enzymes. | YES
11048422 | Microbacterium azadirachtae | Salt | Zea mays | This is the first study of Microbacterium azadirachtae on plant growth enhancement and salt stress tolerance in vivo, and the results indicated the vital contribution of Microbacterium azadirachtae CNUC13 in alleviating the adverse effects of salinity on maize seedlings.AbstractSoil salinization is one of the leading threats to global ecosystems, food security, and crop production. | YES
8891170 | Aspergillus terreus | Salt | Oryza sativa | Under saline conditions, Aspergillus terreus showed a substantial increase in growth, biomass, relative water content, oxidative balance, and photochemical efficiency of rice and maize plants. | YES
9569789 | Azospirillum brasilense | Drought | Cariniana estrellensis | Similarly, the presence of Azospirillum brasilense stimulated more activity by antioxidant enzymes in tree species such as Cecropia pachystachya, Cariniana estrellensis, and soybean, triggering increased drought stress tolerance -REF-, -REF-. | YES
10433232 | Burkholderia phytofirmans | Salt | Arabidopsis | Burkholderia phytofirmans strain PsJN has been found to reduce salt stress in Arabidopsis -REF- and maize -REF-, as well as drought stress in wheat -REF-. | YES
8076752 | Trichoderma | Drought | Oryza sativa | Trichoderma biopriming enhances rice growth in drought-stressed soils by triggering various plant metabolic pathways related to antioxidative defense, secondary metabolites, and hormonal upregulation. | YES
9436562 | Bacillus licheniformis | Salt | Solanum lycopersicum | The ACC deaminase-producing bacterium Bacillus licheniformis HSW-16 and an endophytic halotolerant Bacillus velezensis FMH2 were reported to confer salt stress tolerance in wheat and tomato plants, respectively -REF-, -REF-. | YES
10805835 | Sphingomonas | Cold | Solanum lycopersicum | The Sphingomonas species were more abundant in leaf and root compartments in Si and Si+Cold treatments and have also been reported previously for enhancing cold stress tolerance in tomato plants -REF-; -REF-. | YES
6841942 | Bacillus megaterium | Drought | Chickpea | In this connection, Khan et al., reported the ability of three PGPR isolates identified as Bacillus subtilis, Bacillus thuringiensis, and Bacillus megaterium to induce drought stress tolerance in Chickpea. | YES
9518148 | Pseudomonas | Salt | Triticum aestivum | NaCl-tolerant PGPR strains Pseudomonas fluorescence, Bacillus pumilus, and Exiguobacterium aurantiacum improved wheat salinity tolerance by modulating antioxidant defense systems -REF-. | YES
6930159 | Pseudomonas | Salt | Zea mays | -REF- also reported that ACC-deaminase activity in halolerant bacterial genera of Arthrobacter, Bacillus, Brevibacterium, Gracilibacillus, Virgibacillus, Salinicoccus, and Pseudomonas, Exiguobacterium isolated from the rhizosphere and phytoplane of Suaeda fruticosa L. Forssk stimulated growth of maize under saline conditions. | YES
6930159 | Planococcus rifietoensis | Salt | Cicer arietinum | -REF- showed that EPS producing ST-PGPR Halomonas variabilis HT1 and Planococcus rifietoensis RT4 improved chickpea growth and stabilization of soil structure and aggregation under salinity. | YES
8230635 | Pseudomonas | Drought | Vitis vinifera | Additionally, Arabidopsis and grapevine plants were adapted to drought stress due to inoculation with Pseudomonas and Acinetobacter species -REF-. | YES
7646561 | Paenibacillus polymyxa | Drought | Acacia | Some PGPR strains such as Paenibacillus polymyxa, Acetobacter calcoaceticus, Pseudomonas putida, and Pseudomonas fluorescens enhanced the drought stress tolerance in acacia under greenhouse conditions. | YES
9121094 | Bacillus atrophaeus | Salt | Zea mays | In the pot experiment, we also found that the strains Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 had a certain alleviating effect on the growth of maize under salt stress. | YES
6780275 | Bacillus | Cold | Triticum aestivum | To the best of our knowledge, the present study is the first report for the alleviation of cold stress in wheat plants by the inoculation of psychrophilic Bacillus spp. | YES
9518148 | Exiguobacterium aurantiacum | Salt | Triticum aestivum | NaCl-tolerant PGPR strains Pseudomonas fluorescence, Bacillus pumilus, and Exiguobacterium aurantiacum improved wheat salinity tolerance by modulating antioxidant defense systems -REF-. | YES
9600683 | Bacillus cereus | Heat | Glycine max | reported that thermotolerant Bacillus cereus strain SA1 alleviated heat stress in soybean plants by enhancing antioxidant defense enzymes and altering hormonal profiles -REF-. | YES
9495777 | Bacillus thuringiensis | Drought | Triticum aestivum | The inoculation of Triticum aestivum with Bacillus thuringiensis resulted in significantly greater survival of drought-stressed plants and increased photosynthesis and biomass production due to significantly reduced emission of stress-induced volatiles -REF-. | YES
11203645 | Lysinibacillus fusiformis | Salt | Glycine max | -REF- also reported that the synergistic application of Lysinibacillus fusiformis L. PLT16 and rhizobacterium strain ameliorates the negative effects of drought and salt stress on soybean and bean plants by regulating photosynthesis and the hormonal and antioxidant systems. | YES
7308537 | Azospirillum | Drought | Triticum aestivum | These results are consistent with -REF- that showed different strains of Azospirillum had a positive influence on wheat plants that was dependent on the severity of the water stress. | YES
10326438 | Pseudomonas | Drought | Ziziphus jujuba | Under drought conditions, other IAA-producing Pseudomonas strain were able to improve growth in different plant species, including wheat, jujube, and Arabis thaliana -REF-; -REF-; -REF-; -REF-. | YES
6930159 | Bacillus | Salt | Zea mays | -REF- also reported that ACC-deaminase activity in halolerant bacterial genera of Arthrobacter, Bacillus, Brevibacterium, Gracilibacillus, Virgibacillus, Salinicoccus, and Pseudomonas, Exiguobacterium isolated from the rhizosphere and phytoplane of Suaeda fruticosa L. Forssk stimulated growth of maize under saline conditions. | YES
9706007 | Bacillus tequilensis | Salt | Arabidopsis thaliana | Similarly, Arabidopsis thaliana seedlings inoculated with Bacillus tequilensis J12, Bacillus endophyticus J13, Pimelea aeruginosa ZNP1, and Pimelea aeruginosa PM389 strains showed the ability to counteract the adverse effects of osmotic stress conditions by improvement in fresh and dry weight and water content of the plant as compared to uninoculated plants exposed to osmotic stress. | YES
8775878 | Piriformospora indica | Salt | Oryza sativa | A fungal endophyte Piriformospora indica has been found to regulate salt stress in rice plants by up-regulating certain genes related to salt stress, such as OsSTK, OsLEAP, OsAP1, OsMPIX, Os40S27, OsSIP, and OsSOS1 -REF-. | YES
10326438 | Pseudomonas putida | Heat | Triticum aestivum | The tZ-producing strain Pseudomonas putida AKMP7 has been shown to alleviate heat stress in wheat -REF-; -REF-. | YES
9600683 | Burkholderia phytofirmans | Cold | Vitis vinifera | Reports suggest that the endophytic bacteria Burkholderia phytofirmans strain PsJN can alter photosynthesis and the carbohydrate metabolism involved in chilling stress, thereby enhancing the cold tolerance of grapevine plants -REF-, -REF-. | YES
9706007 | Rhizobium leguminosarum | Drought | Triticum aestivum | Similarly, inoculation of wheat plant with EPS-producing Mesorhizobium ciceri CR-30 and CR-39, Rhizobium leguminosarum LR-30, and Rhizobium phaseoli MR-2 resulted in an improvement in plant growth and biomass and enhancement of the drought resistance capacity of wheat seedlings -REF-. | YES
9600683 | Bacillus subtilis | Salt | Arabidopsis | For example, the bacterial endophyte Bacillus subtilis has been reported to enhance salinity tolerance in Arabidopsis by simultaneously downregulating high-affinity K+ transporter 1 HKT1 expression in roots and upregulating it in shoots. | YES
7933552 | Aspergillus aculeatus | Drought | Lolium perenne | Conclusion In summary, by using perennial ryegrass plants and mutualistic Aspergillus aculeatus, we provide the evidence for the fungal alleviatory effects to the adverse effects of drought and heat stress. | YES
9121094 | Bacillus atrophaeus | Salt | Zea mays | Moreover, inoculation with Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 protected maize from salt stress by regulating plant hormone IAA and abscisic acid ABA levels and increasing nutrient acquisition. | YES
6987256 | Pantoea alhagi | Salt | Oryza sativa | Conclusion In this study, we isolated the endophytic bacterium Pantoea alhagi NX-11, which produces high levels of EPSs, from the roots of sea rice and found that the inoculation of rice seedlings with this bacterium could effectively alleviate the toxicity of salt stress. | YES
10381829 | Trichoderma longibrachiatum | Drought | Pinus massoniana | The present results are consistent with these findings, and thus Trichoderma longibrachiatum enhanced tolerance to drought by enhancing the photosynthetic capacity of Pinus massoniana seedlings. | YES
11104533 | Penicillium chrysogenum | Salt | Solanum lycopersicum | Similarly, inoculation of Penicillium chrysogenum isolated from a plant growing in a salt-stressed environment into tomato seedlings and exposed to 300 mM NaCl resulted in plants that were healthier than uninoculated plants throughout the salinity exposure period Morsy et al. | YES
9121094 | Planococcus soli | Salt | Zea mays | Moreover, inoculation with Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 protected maize from salt stress by regulating plant hormone IAA and abscisic acid ABA levels and increasing nutrient acquisition. | YES
11465243 | Bacillus halotolerans | Drought | Triticum aestivum | For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in wheat and peppers, and Bacillus aryabhattai B8W22 and Bacillus halotolerans MSR-H4 improved salt stress tolerance in rice and wheat -REF-; -REF-; -REF-; -REF-. | YES
9658302 | Streptomyces pseudovenezuelae | Drought | Zea mays | When drought-tolerant Streptomyces pseudovenezuelae and Arthrobacter arilaitensis were used as bio-inoculants, they increased growth and reduced the negative effects of drought stress on maize plants -REF-. | YES
8533330 | Aspergillus japonicus | Heat | Sunflower | -REF- found that endophytic Aspergillus japonicus improved soybean and sunflower growth under heat-stressed conditions. | YES
